Термины на русском;Термины на английском;Сокращения на русском;Сокращения на английском
Численность населения Республики Казахстан;Population_KZ;;
Республика Казахстан;Kazakhstan;;
Акмолинская;Akmola_region;;
Актюбинская;Aktobe_region;;
Алматинская;Almaty_region;;
Атырауская;Atyrau_region;;
Западно-Казахстанская;West_Kazakhstan_region;;
Жамбылская;Zhambyl_region;;
Карагандинская;Karaganda_region;;
Костанайская;Kostanay_region;;
Кызылординская;Kyzylorda_region;;
Мангистауская;Mangistau_region;;
Павлодарская;Pavlodar_region;;
Северо-Казахстанская;North_Kazakhstan_region;;
Туркестанская;Turkestan_region;;
Восточно-Казахстанская;East_Kazakhstan_region;;
г. Нур-Султан;Astana;;
г. Алматы;Almaty_city;;
г.Шымкент;Shymkent;;
Городское население;Urban_population_KZ;;
Сельское население;Rural_population_KZ;;
Численность мужчин по регионам Республики Казахстан;Male_Population_KZ;;
Численность мужчин в городах РК;Urban_Male_Population_KZ;;
Численность мужчин в селах РК;Rural_Male_Population_KZ;;
Численность женщин по регионам Республики Казахстан;Female_Population_KZ;;
Бассейны РК;Basins_KZ;;
Арало-Сырдарьинский;Aral_Syrdarya_BAsin;;
Иле-Балхашский;Ile_Balkhash_Basin;;
Иртышский;Irtysh_Basin;;
Ишимский;Ishim_Basin;;
Нура-Сарысуский;Nura_Sarysu_Basin;;
Тобол-Тургайский;Tobol_Turgai_Basin;;
Урало-Каспийский;Ural_Caspian_Basin;;
Шу-Таласский;Shu_Talas_Basin;;
Водные ресурсы бассейна;Water_resources_KZ;(куб.км.);(cubic meter)
Численность населения бассейна;Basins_Population;;
Городское население бассейна;Urban_Basins_Population;;
Сельское население бассейна;Rural_Basins_Population;;
Основная река бассейна;Rivers_of_Basins;;
Протяженность реки на территории КЗ;River_length_in_KZ;;
Падение реки;River_fall;м;m
Среднегодовой расход воды;Average_annual_water_consumption;куб.м/с;m3/s
Водно-энергетические ресурсы, Мощность;Water_and_energy_resources, Power;тыс. кВт;thousand kW
Водно-энергетические ресурсы, Энергия;Water and energy resources, Energy;млн.кВт.ч/год;million kWh/year
Аккабе;Akkabe;;
Арыс;Arys;;
Вухтарма;Bukhtarma;;
Или;Ile;;
Иртыш;Irtysh;;
Кальджнр;Kalzhir;;
Каракабе;Karakaba;;
Кур чум;Kurchum;;
Лепсы;Lepsy;;
Сырьдарья;Syrdarya;;
Талас;Talas;;
Талгар;Talgar;;
Текес;Tekes;;
Тентек;Tentek;;
Уба;Uba;;
Ульба;Ulba;;
Усек;Usek;;
Хоргос;Khorgos;;
Чарын;Sharyn;;
Чилик;Shelek;;
Чу;Shu;;
Озера Казахстана;Lakes_KZ;;
Каспийское море;Caspian Sea;;
Балхаш;Balkhash;;
Аральское море;Aral Sea;;
Малое Аральское море;Small Aral Sea;;
Алаколь;Alakol;;
Зайсан;Zaysan;;
Тенгиз;Tengiz;;
Селетытениз;Seltyteniz;;
Сасыкколь;Sasykkol;;
Кусмурын;Kusmuryn;;
Маркаколь;Markakol;;
Сарыкопа;Sarykopa;;
Кургальджин;Kurgaldzhin;;
Шаглытениз;Shagluteniz;;
Улькен-Карой;Ulken-Kara;;
Теке;Teke;;
Шалкар;Shalkar;;
Камыстыбас;Kamystybas;;
Кызылкак;Kyzylkak;;
Жалаулы;Zhalauly;;
Карасор;Karasor;;
Арыс;Arys;;
Аралсор;Aralsor;;
Уялы;Uyaly;;
Индер;Inder;;
Киши-Караой;Kishi-karai;;
Койбагар;Koibagar;;
Калибек;Kalibek;;
Жалтыр;Zhaltyr;;
Сарыкопа;Sarykopa;;
Бийлеколь;Biylekol;;
Шурексор;Shureksor;;
Большой Ажбулат;Big Azhbulat;;
Каракоин;Karacoin;;
Ащиколь;Ashchikol;;
Тениз;Teniz;;
Акколь;Akkol;;
Ащиколь;Ashchikol;;
Жарман;Zharman;;
Жаксыкылыш;Zhaksykylysh;;
Аралсор;Aralsor;;
Итеймен;Iteimen;;
Акколь;Akkol;;
Маралды;Maraldy;;
Калмакколь;Kalmakkol;;
Тонтыгер;Tontyger;;
Как;Kak;;
Состояние качества поверхностных вод Казахстана по гидрохимическим показателям в апреле 2006 года;State of the quality of surface waters of Kazakhstan in terms of hydrochemical indicators in April 2006;;
Класы;Class;;
Характеристика качества воды;Water quality characteristic;;
"очень чистая";"very clean";;
«чистая»;"clean";;
«умеренно загрязненная»;"moderately polluted";;
«загрязненная»;"polluted";;
«грязная»;"dirty";;
«очень грязная»;"very dirty";;
«чрезвычайногрязная»;"extremely dirty";;
Индекс загрязнения воды;Water pollution index;ИЗВ;WPI
